plik,czas_dyn,czas_aproks,stos_czas_dyn_aproks,czas_bb,koszt_dyn,koszt_aproks,stos_koszt_dyn_aproks,koszt_bb
data/8/8_25.tsp,5188768,69430,74.7338,890455,483,557,1.15321,483
data/8/8_26.tsp,5845972,87553,66.7707,940698,494,538,1.08907,494
data/8/8_27.tsp,5811536,101603,57.1985,855534,471,555,1.17834,471
data/8/8_28.tsp,5551365,141426,39.2528,930664,468,503,1.07479,475
data/8/8_29.tsp,5299946,67459,78.5654,906780,501,521,1.03992,501
data/9/9_0.tsp,15008584,86995,172.522,1542339,529,556,1.05104,531
data/9/9_1.tsp,16954733,96024,176.568,1519835,562,636,1.13167,565
data/9/9_2.tsp,14371512,155733,92.283,1519853,512,585,1.14258,512
data/9/9_3.tsp,16471221,152731,107.845,1454243,571,607,1.06305,573
data/9/9_4.tsp,17777250,93196,190.751,1577828,574,591,1.02962,574
data/9/9_5.tsp,15595798,159602,97.7168,1543156,549,558,1.01639,549
data/9/9_6.tsp,18551986,248269,74.7253,1775709,587,620,1.05622,594
data/9/9_7.tsp,15686579,138690,113.105,2293354,558,591,1.05914,558
data/9/9_8.tsp,15776407,148966,105.906,1629499,523,571,1.09178,523
data/9/9_9.tsp,15935834,197508,80.6845,1469546,545,598,1.09725,545
data/9/9_10.tsp,15826755,117196,135.045,1490661,534,614,1.14981,534
data/9/9_11.tsp,14320565,87702,163.287,1551061,555,622,1.12072,555
data/9/9_12.tsp,17063768,239942,71.1162,2193741,513,546,1.06433,513
data/9/9_13.tsp,21447359,274581,78.1094,2172791,545,627,1.15046,545
data/9/9_14.tsp,21467692,157989,135.881,2240477,524,553,1.05534,524
data/9/9_15.tsp,21728369,230895,94.105,2100275,516,546,1.05814,516
data/9/9_16.tsp,16565051,160950,102.92,1519040,537,560,1.04283,537
data/9/9_17.tsp,17218891,182063,94.5766,2591792,512,557,1.08789,512
data/9/9_18.tsp,15584530,90937,171.377,1635807,541,585,1.08133,541
data/9/9_19.tsp,15769387,608368,25.9208,1765077,502,591,1.17729,518
data/9/9_20.tsp,21197930,267108,79.3609,2162012,544,600,1.10294,547
data/9/9_21.tsp,22287085,156667,142.258,2307366,539,558,1.03525,539
data/9/9_22.tsp,21512212,258358,83.2651,2125322,551,590,1.07078,556
data/9/9_23.tsp,21728792,249686,87.0245,1776672,509,544,1.06876,509
data/9/9_24.tsp,14244457,92901,153.329,1567897,568,578,1.01761,568
data/9/9_25.tsp,15569764,235953,65.9867,1601478,560,577,1.03036,560
data/9/9_26.tsp,14480182,159282,90.9091,1490145,506,583,1.15217,529
data/9/9_27.tsp,16855370,150095,112.298,1955039,523,554,1.05927,523
data/9/9_28.tsp,14439182,100037,144.338,1533099,513,542,1.05653,516
data/9/9_29.tsp,14118953,155800,90.6223,1776683,534,612,1.14607,534
data/10/10_0.tsp,40577555,456329,88.9217,2429499,620,653,1.05323,621
data/10/10_1.tsp,40412455,497440,81.2409,2447933,628,701,1.11624,629
data/10/10_2.tsp,38566676,292766,131.732,2401549,644,688,1.06832,656
data/10/10_3.tsp,42202203,114183,369.601,2499068,606,683,1.12706,610
data/10/10_4.tsp,37356176,123044,303.6,2711714,589,620,1.05263,589
data/10/10_5.tsp,37546805,113627,330.439,2567602,596,618,1.03691,598
